cve_id,published,last_modified,source_identifier,description,severity,cvss_score,vector,exploitability_score,impact_score,month,year
CVE-1999-0241,1995-11-01 05:00:00.000,2024-11-20 23:28:13.143,cve@mitre.org,"guessable magic cookies in x windows allows remote attackers to execute commands, e.g. through xterm.",high,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0,1995-11,1995
CVE-1999-0179,1997-01-01 05:00:00.000,2024-11-20 23:28:03.757,cve@mitre.org,"windows nt crashes or locks up when a samba client executes a ""cd .."" command on a file share.",medium,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9,1997-01,1997
CVE-1999-0249,1997-01-01 05:00:00.000,2024-11-20 23:28:14.380,cve@mitre.org,windows nt rshsvc program allows remote users to execute arbitrary commands.,high,7.2,AV:L/AC:L/Au:N/C:C/I:C/A:C,3.9,10.0,1997-01,1997
CVE-1999-0274,1997-01-01 05:00:00.000,2024-11-20 23:28:18.163,cve@mitre.org,denial of service in windows nt dns servers through malicious packet which contains a response to a query that wasn't made.,medium,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9,1997-01,1997
CVE-1999-0345,1997-01-01 05:00:00.000,2024-11-20 23:28:28.900,cve@mitre.org,jolt icmp attack causes a denial of service in windows 95 and windows nt systems.,medium,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9,1997-01,1997
CVE-1999-0496,1997-01-01 05:00:00.000,2024-11-20 23:28:52.430,cve@mitre.org,"a windows nt 4.0 user can gain administrative rights by forcing ntopenprocesstoken to succeed regardless of the user's permissions, aka getadmin.",high,7.2,AV:L/AC:L/Au:N/C:C/I:C/A:C,3.9,10.0,1997-01,1997
CVE-1999-0503,1997-01-01 05:00:00.000,2024-11-20 23:28:53.363,cve@mitre.org,a windows nt local user or administrator account has a guessable password.,high,7.2,AV:L/AC:L/Au:N/C:C/I:C/A:C,3.9,10.0,1997-01,1997
CVE-1999-0504,1997-01-01 05:00:00.000,2024-11-20 23:28:53.580,cve@mitre.org,"a windows nt local user or administrator account has a default, null, blank, or missing password.",high,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,10.0,6.4,1997-01,1997
CVE-1999-0534,1997-01-01 05:00:00.000,2024-11-20 23:28:58.030,cve@mitre.org,"a windows nt user has inappropriate rights or privileges, e.g. act as system, add workstation, backup, change system time, create pagefile, create permanent object, create token name, debug, generate security audit, increase priority, increase quota, load driver, lock memory, profile single process, remote shutdown, replace process token, restore, system environment, take ownership, or unsolicited input.",medium,4.6,AV:L/AC:L/Au:N/C:P/I:P/A:P,3.9,6.4,1997-01,1997
CVE-1999-0535,1997-01-01 05:00:00.000,2024-11-20 23:28:58.177,cve@mitre.org,"a windows nt account policy for passwords has inappropriate, security-critical settings, e.g. for password length, password age, or uniqueness.",high,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0,1997-01,1997
