cve_id,published,last_modified,source_identifier,description,severity,cvss_score,vector,exploitability_score,impact_score
CVE-1999-0241,1995-11-01T05:00:00.000,2024-11-20T23:28:13.143,cve@mitre.org,"guessable magic cookies in x windows allows remote attackers to execute commands, e.g. through xterm.",HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0179,1997-01-01T05:00:00.000,2024-11-20T23:28:03.757,cve@mitre.org,"windows nt crashes or locks up when a samba client executes a ""cd .."" command on a file share.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-0249,1997-01-01T05:00:00.000,2024-11-20T23:28:14.380,cve@mitre.org,windows nt rshsvc program allows remote users to execute arbitrary commands.,HIGH,7.2,AV:L/AC:L/Au:N/C:C/I:C/A:C,3.9,10.0
CVE-1999-0274,1997-01-01T05:00:00.000,2024-11-20T23:28:18.163,cve@mitre.org,denial of service in windows nt dns servers through malicious packet which contains a response to a query that wasn't made.,MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-0345,1997-01-01T05:00:00.000,2024-11-20T23:28:28.900,cve@mitre.org,jolt icmp attack causes a denial of service in windows 95 and windows nt systems.,MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-0496,1997-01-01T05:00:00.000,2024-11-20T23:28:52.430,cve@mitre.org,"a windows nt 4.0 user can gain administrative rights by forcing ntopenprocesstoken to succeed regardless of the user's permissions, aka getadmin.",HIGH,7.2,AV:L/AC:L/Au:N/C:C/I:C/A:C,3.9,10.0
CVE-1999-0503,1997-01-01T05:00:00.000,2024-11-20T23:28:53.363,cve@mitre.org,a windows nt local user or administrator account has a guessable password.,HIGH,7.2,AV:L/AC:L/Au:N/C:C/I:C/A:C,3.9,10.0
CVE-1999-0504,1997-01-01T05:00:00.000,2024-11-20T23:28:53.580,cve@mitre.org,"a windows nt local user or administrator account has a default, null, blank, or missing password.",HIGH,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,10.0,6.4
CVE-1999-0534,1997-01-01T05:00:00.000,2024-11-20T23:28:58.030,cve@mitre.org,"a windows nt user has inappropriate rights or privileges, e.g. act as system, add workstation, backup, change system time, create pagefile, create permanent object, create token name, debug, generate security audit, increase priority, increase quota, load driver, lock memory, profile single process, remote shutdown, replace process token, restore, system environment, take ownership, or unsolicited input.",MEDIUM,4.6,AV:L/AC:L/Au:N/C:P/I:P/A:P,3.9,6.4
CVE-1999-0535,1997-01-01T05:00:00.000,2024-11-20T23:28:58.177,cve@mitre.org,"a windows nt account policy for passwords has inappropriate, security-critical settings, e.g. for password length, password age, or uniqueness.",HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
CVE-1999-0562,1997-01-01T05:00:00.000,2024-11-20T23:29:00.457,cve@mitre.org,the registry in windows nt can be accessed remotely by users who are not administrators.,HIGH,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,10.0,6.4
CVE-1999-0572,1997-01-01T05:00:00.000,2024-11-20T23:29:01.573,cve@mitre.org,".reg files are associated with the windows nt registry editor (regedit), making the registry susceptible to trojan horse attacks.",HIGH,9.3,AV:N/AC:M/Au:N/C:C/I:C/A:C,8.6,10.0
CVE-1999-0575,1997-01-01T05:00:00.000,2024-11-20T23:29:01.710,cve@mitre.org,"a windows nt system's user audit policy does not log an event success or failure, e.g. for logon and logoff, file and object access, use of user rights, user and group management, security policy changes, restart, shutdown, and system, and process tracking.",HIGH,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,10.0,6.4
CVE-1999-0576,1997-01-01T05:00:00.000,2024-11-20T23:29:01.830,cve@mitre.org,a windows nt system's file audit policy does not log an event success or failure for security-critical files or directories.,HIGH,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,10.0,6.4
CVE-1999-0582,1997-01-01T05:00:00.000,2024-11-20T23:29:02.610,cve@mitre.org,"a windows nt account policy has inappropriate, security-critical settings for lockout, e.g. lockout duration, lockout after bad logon attempts, etc.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-0369,1997-02-01T05:00:00.000,2024-11-20T23:28:34.510,cve@mitre.org,the sun sdtcm_convert calendar utility for openwindows has a buffer overflow which can gain root access.,HIGH,7.2,AV:L/AC:L/Au:N/C:C/I:C/A:C,3.9,10.0
CVE-1999-0228,1997-02-07T05:00:00.000,2024-11-20T23:28:11.147,cve@mitre.org,denial of service in rpcss.exe program (rpc locator) in windows nt.,MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-1128,1997-03-01T05:00:00.000,2024-11-20T23:30:22.650,cve@mitre.org,"internet explorer 3.01 on windows 95 allows remote malicious web sites to execute arbitrary commands via a .isp file, which is automatically downloaded and executed without prompting the user.",MEDIUM,5.1,AV:N/AC:H/Au:N/C:P/I:P/A:P,4.9,6.4
CVE-1999-1387,1997-04-02T05:00:00.000,2024-11-20T23:30:59.600,cve@mitre.org,"windows nt 4.0 sp2 allows remote attackers to cause a denial of service (crash), possibly via malformed inputs or packets, such as those generated by a linux smbmount command that was compiled on the linux 2.0.29 kernel but executed on linux 2.0.25.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-1380,1997-05-04T04:00:00.000,2024-11-20T23:30:58.610,cve@mitre.org,"symantec norton utilities 2.0 for windows 95 marks the tuneocx.ocx activex control as safe for scripting, which allows remote attackers to execute arbitrary commands via the run option through malicious web pages that are accessed by browsers such as internet explorer 3.0.",MEDIUM,5.1,AV:N/AC:H/Au:N/C:P/I:P/A:P,4.9,6.4
CVE-1999-0227,1997-06-01T04:00:00.000,2024-11-20T23:28:10.997,cve@mitre.org,access violation in lsass.exe (lsa/lsarpc) program in windows nt allows a denial of service.,MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-0275,1997-06-10T04:00:00.000,2024-11-20T23:28:18.297,cve@mitre.org,denial of service in windows nt dns servers by flooding port 53 with too many characters.,MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-0153,1997-07-01T04:00:00.000,2024-11-20T23:27:59.633,cve@mitre.org,"windows 95/nt out of band (oob) data denial of service through netbios port, aka winnuke.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-1463,1997-07-10T04:00:00.000,2024-11-20T23:31:10.650,cve@mitre.org,"windows nt 4.0 before sp3 allows remote attackers to bypass firewall restrictions or cause a denial of service (crash) by sending improperly fragmented ip packets without the first fragment, which the tcp/ip stack incorrectly reassembles into a valid session.",MEDIUM,5.0,AV:N/AC:L/Au:N/C:N/I:N/A:P,10.0,2.9
CVE-1999-1217,1997-07-25T04:00:00.000,2024-11-20T23:30:35.653,cve@mitre.org,"the path in windows nt includes the current working directory (.), which could allow local users to gain privileges by placing trojan horse programs with the same name as commonly used system programs into certain directories.",MEDIUM,4.6,AV:L/AC:L/Au:N/C:P/I:P/A:P,3.9,6.4
CVE-1999-1133,1997-09-01T04:00:00.000,2024-11-20T23:30:23.363,cve@mitre.org,"hp-ux 9.x and 10.x running x windows may allow local attackers to gain privileges via (1) vuefile, (2) vuepad, (3) dtfile, or (4) dtpad, which do not authenticate users.",MEDIUM,4.6,AV:L/AC:L/Au:N/C:P/I:P/A:P,3.9,6.4
CVE-1999-0967,1997-11-01T05:00:00.000,2024-11-20T23:29:57.753,cve@mitre.org,"buffer overflow in the html library used by internet explorer, outlook express, and windows explorer via the res: local resource protocol.",HIGH,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,10.0
